workload,run,mode,real_sec,user_sec,sys_sec
tar_workload,16,adaptive,0.2240,0.0060,0.0070
tar_workload,17,native,0.0190,0.0030,0.0060
tar_workload,17,none,0.2190,0.0130,0.0000
tar_workload,17,baseline,0.2230,0.0130,0.0000
tar_workload,17,adaptive,0.2280,0.0050,0.0090
tar_workload,18,native,0.0190,0.0020,0.0080
tar_workload,18,none,0.2280,0.0030,0.0100
tar_workload,18,baseline,0.2300,0.0060,0.0070
tar_workload,18,adaptive,0.2230,0.0090,0.0040
tar_workload,19,native,0.0190,0.0050,0.0050
tar_workload,19,none,0.2270,0.0120,0.0030
tar_workload,19,baseline,0.2330,0.0040,0.0090
tar_workload,19,adaptive,0.2300,0.0050,0.0100
tar_workload,20,native,0.0190,0.0080,0.0020
tar_workload,20,none,0.2250,0.0090,0.0040
tar_workload,20,baseline,0.2320,0.0090,0.0060
tar_workload,20,adaptive,0.2290,0.0070,0.0070
python_import,1,native,0.0280,0.0040,0.0060
python_import,1,none,0.5560,0.0140,0.0040
python_import,1,baseline,0.5600,0.0050,0.0110
python_import,1,adaptive,0.5660,0.0110,0.0070
python_import,2,native,0.0280,0.0060,0.0040
python_import,2,none,0.5640,0.0060,0.0110
python_import,2,baseline,0.5540,0.0100,0.0080
python_import,2,adaptive,0.5590,0.0040,0.0140
python_import,3,native,0.0280,0.0070,0.0030
python_import,3,none,0.5490,0.0060,0.0110
python_import,3,baseline,0.5590,0.0140,0.0020
python_import,3,adaptive,0.5630,0.0040,0.0140
python_import,4,native,0.0280,0.0040,0.0050
python_import,4,none,0.5600,0.0060,0.0110
python_import,4,baseline,0.5620,0.0060,0.0110
python_import,4,adaptive,0.5630,0.0140,0.0030
python_import,5,native,0.0280,0.0050,0.0040
python_import,5,none,0.5700,0.0130,0.0050
python_import,5,baseline,0.5750,0.0060,0.0110
python_import,5,adaptive,0.5480,0.0160,0.0000
python_import,6,native,0.0280,0.0080,0.0010
python_import,6,none,0.5590,0.0050,0.0120
python_import,6,baseline,0.5400,0.0080,0.0080
python_import,6,adaptive,0.5450,0.0080,0.0100
python_import,7,native,0.0280,0.0040,0.0050
python_import,7,none,0.5510,0.0060,0.0120
python_import,7,baseline,0.5700,0.0100,0.0070
python_import,7,adaptive,0.5560,0.0100,0.0080
python_import,8,native,0.0280,0.0080,0.0010
python_import,8,none,0.5480,0.0070,0.0100
python_import,8,baseline,0.5520,0.0080,0.0080
python_import,8,adaptive,0.5580,0.0070,0.0090
python_import,9,native,0.0280,0.0040,0.0050
python_import,9,none,0.5400,0.0060,0.0110
python_import,9,baseline,0.5620,0.0140,0.0020
python_import,9,adaptive,0.5630,0.0050,0.0120
python_import,10,native,0.0280,0.0020,0.0070
python_import,10,none,0.5530,0.0060,0.0120
python_import,10,baseline,0.5790,0.0040,0.0130
python_import,10,adaptive,0.5500,0.0060,0.0110
python_import,11,native,0.0290,0.0090,0.0010
python_import,11,none,0.5660,0.0080,0.0100
python_import,11,baseline,0.5580,0.0050,0.0110
